order_id,payment_sequential,payment_type
5cfd514482e22bc992e7693f0e3e8df7,2,voucher
3689194c14ad4e2e7361ebd1df0e77b0,2,voucher
21b8b46679ea6482cbf911d960490048,2,voucher
ea9184ad433a404df1d72fa0a8764232,4,voucher
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher
487c1451b8fd7347d0e80e5aca887e91,2,voucher
65c863d90026e9dd4888e28d2135c983,2,voucher
591083bc42b589c7052118aa83118e76,5,voucher
79b63d1f9cf0257b33b04fbfb0847cba,2,voucher
332c6742772f2df936696b6512b10edb,2,credit_card
85e710051891004eca4f527adcadd0c3,2,voucher
11978d520d85578c9f024b99ac1a87ef,2,voucher
d56564f21e612a588607e9ffb39b9d21,2,voucher
dc400373e624e9b0435847a79813c658,2,voucher
bedff73fa5a137527ba9314cac93b7b3,2,voucher
b80ba0f0c3d2a63feac0116f533cc6a9,3,voucher
009ac365164f8e06f59d18a08045f6c4,5,voucher
621b8e90f6fd06a792af8bdbbaf64a92,2,voucher
d3f44296d90a42d3ec4b52b18654e87a,8,voucher
683bf306149bb869980b68d48a1bd6ab,2,voucher
adc2f0c9fd838d820339f8220c1adf08,2,voucher
20aa4f85b1ed8d98e5c742c1a003db9c,2,voucher
3d7fb1dd6ff6f0eedb9976eda81e4a95,2,voucher
93de8241002c099c87029b0362e5c0c9,2,voucher
88a82da4cb2eb4723c9965285fe826c9,2,voucher
fbbc0a864330509c41ca4b4f0ff9b780,2,voucher
900fac51d850dfc38fceb9c413441c67,2,debit_card
0fa927b252421189a0e0d5725fb3832d,2,voucher
68986e4324f6a21481df4e6e89abcf01,5,voucher
3bfd863aeb764ee13e7a3909ca8be2a5,2,voucher
cf014dc8804713618176fc95af41b221,2,voucher
9e8d7ab8137bcd3cfeac577dddf35592,2,voucher
8ca5bdac5ebe8f2d6fc9171d5ebc906a,3,voucher
4a686b47e7eecbd136617bf8ae7c9af4,2,voucher
7db5f2eb8f5f54db9f9e71ba4296bcbf,2,voucher
816ccd9d21435796e8ffa9802b2a782f,5,voucher
e6a66a8350bb88497954d37688ab123e,4,voucher
fc6e9a6cd6985d3d454cccfdfdf66931,2,voucher
c659935fdc19ef6b13aa33fb990a2f81,2,voucher
cc779b75630b5b63955c7167fcadee93,2,voucher
98f0e2b0d85754ca3b4e06d70f0f63a2,2,credit_card
b5a1d012931f59ed905df201cf2aba80,2,voucher
5454971549d855538eb746e4d263f9a5,2,voucher
608570b95a49743971fb82089b960070,3,voucher
4fb76fa13b108a0d0478483421b0992c,6,voucher
4b21c757f8c1a51d41c1653e15d8f289,2,voucher
0c1457493ca1492c4a4417fc278605b0,2,voucher
d7c320185a2f9b32f5e2370ff3f8bd64,2,voucher
6e0b92bf7f849a26ecbd65716cf5d610,2,voucher
6d9f6e79f1664d6ff8e74dd03f8a5b43,2,voucher
11f97a9967bb081adb9883460c71e845,3,voucher
5373c26702420c0f842871e489365e20,2,credit_card
3957b45bce42070cac232014ad4d001b,2,voucher
6a0c96e8fd6d1c42bbfa1f5d49f3d3cb,3,voucher
370e2e6c1a9fd451eb7f0852daa3b006,7,voucher
eca3005a4f60ceb77b67a30b74095ddf,2,credit_card
9c14756d0113f66be55ca07456df3393,3,voucher
53177d318c723e378c2a2aa1e9b2ea8e,4,voucher
a3a97bc6e236d5351537c8f466c34dad,3,voucher
